Date,Close,Open,High,Low,Volume,Up&Down,Rate
2014-11-19,13100,15400,15400,13100,372064,0,
2014-11-20,11400,11900,11950,11150,15286812,-12.97709924,
2014-11-21,11300,11350,11700,11250,6326615,-0.877192982,
2014-11-24,11350,11450,11550,11250,3889517,0.442477876,
2014-11-25,11150,11400,11450,11150,3625556,-1.762114537,
2014-11-26,11150,11150,11250,11050,2235325,0,
2014-11-27,10750,11100,11100,10650,4913051,-3.587443946,
2014-11-28,10700,10700,10900,10600,2457719,-0.465116279,
2014-12-01,10550,10800,10950,10550,2410647,-1.401869159,
2014-12-02,10700,10550,10800,10500,2339578,1.421800948,
2014-12-03,11150,10750,11150,10650,2704522,4.205607477,
2014-12-04,11000,11150,11250,10850,3264656,-1.34529148,
2014-12-05,10850,10950,11050,10750,2291141,-1.363636364,
2014-12-08,10750,10900,10950,10700,1382719,-0.921658986,
2014-12-09,10700,10750,10800,10650,1492712,-0.465116279,
2014-12-10,10450,10700,10750,10450,1901601,-2.336448598,
2014-12-11,10400,10350,10550,10300,2359755,-0.4784689,
2014-12-12,10250,10450,10500,10150,3781038,-1.442307692,
2014-12-15,10350,10150,10400,10100,1241367,0.975609756,
2014-12-16,10350,10250,10350,10150,1814483,0,
2014-12-17,10200,10350,10400,10200,1501746,-1.449275362,
2014-12-18,10200,10350,10400,10100,2141838,0,
2014-12-19,10450,10350,10550,10250,2023814,2.450980392,
2014-12-22,10650,10600,10750,10450,2125297,1.913875598,
2014-12-23,10750,10750,10950,10650,2650353,0.938967136,
2014-12-24,10850,10800,10900,10700,1544248,0.930232558,
2014-12-26,11000,10900,11150,10800,3755465,1.382488479,
2014-12-29,10250,10650,10700,10200,3560765,-6.818181818,
2014-12-30,10000,10300,10350,9970,4287706,-2.43902439,
2015-01-02,9790,10000,10000,9760,2918197,-2.1,
2015-01-05,9630,9750,9760,9530,3563551,-1.634320735,
2015-01-06,9440,9520,9580,9410,2619991,-1.973001038,
2015-01-07,9400,9380,9510,9370,1679442,-0.423728814,
2015-01-08,9530,9420,9620,9410,2166767,1.382978723,
2015-01-09,9560,9630,9660,9510,1737936,0.314795383,
2015-01-12,9380,9500,9540,9360,1449448,-1.882845188,
2015-01-13,9390,9400,9490,9320,1380551,0.106609808,
2015-01-14,9220,9390,9420,9190,2399519,-1.810436635,
2015-01-15,9050,9190,9200,9000,2884385,-1.843817787,
2015-01-16,8860,8960,9020,8760,3201718,-2.099447514,
2015-01-19,8950,8930,9100,8910,1507477,1.015801354,
2015-01-20,9100,8950,9170,8910,1970443,1.675977654,
2015-01-21,9100,9130,9210,8950,1854493,0,
2015-01-22,9020,9100,9150,9020,1378832,-0.879120879,
2015-01-23,9110,9140,9240,9040,1646183,0.997782705,
2015-01-26,9140,9110,9230,9050,1135707,0.329308452,
2015-01-27,8910,9140,9160,8860,2565615,-2.516411379,
2015-01-28,8780,8840,8920,8710,3044373,-1.459034792,
2015-01-29,8830,8770,8870,8720,1919552,0.569476082,
2015-01-30,8800,8860,8870,8760,1750085,-0.339750849,
2015-02-02,8880,8790,8890,8750,1313059,0.909090909,
2015-02-03,9300,8920,9390,8900,4898231,4.72972973,
2015-02-04,9500,9440,9680,9400,4502889,2.150537634,
2015-02-05,9120,9430,9440,9080,3017892,-4,
2015-02-06,9140,9140,9210,9050,1715100,0.219298246,
2015-02-09,9180,9180,9270,9120,1705990,0.437636761,
2015-02-10,9160,9240,9240,9060,1473622,-0.217864924,
2015-02-11,9170,9140,9210,9100,1580939,0.109170306,
2015-02-12,9100,9170,9210,9070,1319227,-0.763358779,
2015-02-13,9350,9150,9380,9140,1940137,2.747252747,
2015-02-16,9360,9350,9460,9320,1206684,0.106951872,
2015-02-17,9510,9360,9520,9310,1193000,1.602564103,
2015-02-23,9550,9580,9640,9510,1402461,0.420609884,
2015-02-24,9550,9550,9600,9480,968039,0,
2015-02-25,9610,9560,9650,9530,1378530,0.628272251,
2015-02-26,9610,9610,9620,9480,1846848,0,
2015-02-27,9480,9560,9600,9420,1570805,-1.352757544,
2015-03-02,9300,9450,9470,9290,1831355,-1.898734177,
2015-03-03,9500,9310,9540,9260,1858136,2.150537634,
2015-03-04,9440,9490,9530,9420,663250,-0.631578947,
2015-03-05,9410,9440,9460,9350,920640,-0.31779661,
2015-03-06,9310,9440,9460,9280,1845649,-1.062699256,
2015-03-09,9300,9360,9390,9270,1162064,-0.107411386,
2015-03-10,9230,9300,9330,9220,1463281,-0.752688172,
2015-03-11,9140,9120,9200,9120,1434623,-0.975081257,
2015-03-12,9450,9180,9630,9140,5130747,3.391684902,
2015-03-13,9470,9500,9540,9390,1815882,0.211640212,
2015-03-16,9700,9500,9750,9420,2668446,2.428722281,
2015-03-17,10100,9770,10100,9710,4836100,4.12371134,
2015-03-18,10050,10100,10250,10000,2426394,-0.495049505,
2015-03-19,9940,10200,10250,9860,4112165,-1.094527363,
2015-03-20,9760,9870,9920,9640,3713913,-1.810865191,
2015-03-23,9610,9750,9760,9590,2768987,-1.536885246,
2015-03-24,9440,9620,9670,9330,4071321,-1.768990635,
2015-03-25,9210,9410,9480,9200,4318770,-2.436440678,
2015-03-26,9320,9210,9340,9180,2489511,1.194353963,
2015-03-27,9390,9360,9410,9290,2394633,0.751072961,
2015-03-30,9310,9390,9460,9220,2234752,-0.851970181,
2015-03-31,9380,9350,9430,9310,2248349,0.751879699,
2015-04-01,9270,9380,9390,9230,1639053,-1.172707889,
2015-04-02,9210,9270,9290,9200,1701236,-0.647249191,
2015-04-03,9300,9250,9330,9220,880361,0.977198697,
2015-04-06,9140,9320,9320,9130,1934059,-1.720430108,
2015-04-07,9200,9200,9220,9120,1223505,0.656455142,
2015-04-08,9330,9230,9380,9200,2713087,1.413043478,
2015-04-09,9310,9370,9390,9290,1445509,-0.214362272,
2015-04-10,9370,9350,9440,9320,3001736,0.644468314,
2015-04-13,9470,9420,9470,9350,2471513,1.067235859,
2015-04-14,10800,9500,10850,9470,18368018,14.04435058,
2015-04-15,10400,10850,10900,10150,10492935,-3.703703704,
2015-04-16,10700,10300,10800,10200,8941028,2.884615385,
2015-04-17,10500,10800,10800,10500,4414368,-1.869158879,
2015-04-20,10850,10300,10900,10300,5306906,3.333333333,
2015-04-21,10700,10900,10950,10650,3197344,-1.382488479,
2015-04-22,10400,10650,10750,10250,4048640,-2.803738318,
2015-04-23,11000,10500,11250,10450,9758137,5.769230769,
2015-04-24,11200,11150,11850,11100,11981703,1.818181818,
2015-04-27,11200,11450,11600,11100,3850317,0,
2015-04-28,10700,11350,11350,10600,5897105,-4.464285714,
2015-04-29,10800,10750,11050,10650,4290257,0.934579439,
2015-04-30,10750,10700,10800,10500,3899532,-0.462962963,
2015-05-04,11200,10750,11200,10600,4013501,4.186046512,
2015-05-06,11050,11150,11200,10900,3055299,-1.339285714,
2015-05-07,10700,11100,11100,10600,3475669,-3.167420814,
2015-05-08,10650,10750,10850,10600,1341516,-0.46728972,
2015-05-11,10700,10800,10850,10650,1208827,0.469483568,
2015-05-12,10950,10600,11100,10600,2131591,2.336448598,
2015-05-13,11050,10950,11200,10900,2199137,0.913242009,
2015-05-14,10750,11000,11050,10750,2569533,-2.714932127,
2015-05-15,10650,10850,10950,10600,1830498,-0.930232558,
2015-05-18,10400,10650,10700,10350,2148671,-2.34741784,
2015-05-19,10450,10350,10550,10300,1421588,0.480769231,
2015-05-20,10500,10500,10600,10450,1395837,0.4784689,
2015-05-21,10300,10450,10500,10250,1980441,-1.904761905,
